Species3,Family3,Order3,Avibase_id,Inferred,MainDiet,MainNiche,Pa,Pt,Ne,Se,Fr,In,Ap,Vt,Ca,PAG,PAS,PAD,PEL,PGR,NAE,NGL,SEL,SGR,FAE,FGL,FGR,IAE,ISA,ISS,ISG,IVS,IGE,IGG,APA,APL,APP,APG,APS,APD,VAE,VAS,VPE,VGE,VGG,CAQ,CGR
Buteo leucorrhous,Accipitridae,Accipitriformes,AVIBASE-8C150371,0,Vt,Generalist,0,0,0,0,0,30,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,28,42,0,0,0,0
Buteo lineatus,Accipitridae,Accipitriformes,AVIBASE-EA4D6C0B,0,Vt,VAS,0,0,0,0,0,10,10,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,64,16,0,0,0,0
Buteo magnirostris,Accipitridae,Accipitriformes,AVIBASE-C39CC0F2,0,Vt,VPE,0,0,0,0,0,40,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,36,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0
Buteo nitidus,Accipitridae,Accipitriformes,AVIBASE-4ECE179D,0,Vt,VPE,0,0,0,0,0,20,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,8,72,0,0,0,0
Buteo oreophilus,Accipitridae,Accipitriformes,AVIBASE-5BFEFD9A,0,Vt,VPE,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0
Buteo platypterus,Accipitridae,Accipitriformes,AVIBASE-79F3C681,0,Vt,VPE,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,9,81,0,0,0,0
Buteo polyosoma,Accipitridae,Accipitriformes,AVIBASE-2AAA7F76,0,Vt,VAS,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,10,0,0,0,0
Buteo regalis,Accipitridae,Accipitriformes,AVIBASE-BA9191BC,0,Vt,Generalist,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,45,45,0,0,0,0
Buteo ridgwayi,Accipitridae,Accipitriformes,AVIBASE-AE294FD9,0,Vt,VPE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,70,0,0,0,0
Buteo rufinus,Accipitridae,Accipitriformes,AVIBASE-CC65921F,0,Vt,VPE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,60,0,30,0,0
